run,type,module,name,attrname,attrvalue,value
General-0-20250527-13:21:41-12016,runattr,,,configname,General,
General-0-20250527-13:21:41-12016,runattr,,,datetime,20250527-13:21:41,
General-0-20250527-13:21:41-12016,runattr,,,datetimef,20250527-132141,
General-0-20250527-13:21:41-12016,runattr,,,experiment,General,
General-0-20250527-13:21:41-12016,runattr,,,inifile,omnetpp.ini,
General-0-20250527-13:21:41-12016,runattr,,,iterationvars,,
General-0-20250527-13:21:41-12016,runattr,,,iterationvarsd,,
General-0-20250527-13:21:41-12016,runattr,,,iterationvarsf,,
General-0-20250527-13:21:41-12016,runattr,,,measurement,,
General-0-20250527-13:21:41-12016,runattr,,,network,BlockchainNetwork,
General-0-20250527-13:21:41-12016,runattr,,,processid,12016,
General-0-20250527-13:21:41-12016,runattr,,,repetition,0,
General-0-20250527-13:21:41-12016,runattr,,,replication,#0,
General-0-20250527-13:21:41-12016,runattr,,,resultdir,results,
General-0-20250527-13:21:41-12016,runattr,,,runnumber,0,
General-0-20250527-13:21:41-12016,runattr,,,seedset,123,
General-0-20250527-13:21:41-12016,config,,,network,BlockchainNetwork,
General-0-20250527-13:21:41-12016,config,,,*.iotNode*.inoutGateSize,10,
General-0-20250527-13:21:41-12016,config,,,sim-time-limit,500s,
General-0-20250527-13:21:41-12016,config,,,*.iotNode*.serviceInterval,"uniform(1, 5)",
General-0-20250527-13:21:41-12016,config,,,*.numNodes,50,
General-0-20250527-13:21:41-12016,config,,,**.maliciousNodePercentage,0.3,
General-0-20250527-13:21:41-12016,config,,,seed-set,123,
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_10,,,0.22857142857143
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_20,,,0.25714285714286
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_30,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_40,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_50,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_60,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_70,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_80,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_90,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_100,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_110,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_120,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_130,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_140,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_150,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_160,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],BestThreshold,,,0.38
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],BestF1Score,,,0.78947316482023
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],BestPrecision,,,0.65217388468809
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],BestRecall,,,0.99999993333334
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],BestAccuracy,,,0.8399999832
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],FinalBadServicesReceived,,,1
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],FinalAverageBadServices,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_10,,,0.22857142857143
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_20,,,0.25714285714286
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_30,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_40,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_50,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_60,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_70,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_80,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_90,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_100,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_110,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_120,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_130,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_140,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_150,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_160,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],BestAccuracy,,,0.8399999832
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],BestF1Score,,,0.78947316482023
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],BestPrecision,,,0.65217388468809
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],BestRecall,,,0.99999993333334
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],BestThreshold,,,0.38
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],FinalAverageBadServices,,,0.28571428571429
General-0-20250527-13:21:41-12016,scalar,BlockchainNetwork.iotNode[0],FinalBadServicesReceived,,,1
General-0-20250527-13:21:41-12016,param,BlockchainNetwork,maliciousNodePercentage,,,0.3
General-0-20250527-13:21:41-12016,param,BlockchainNetwork,numNodes,,,50
General-0-20250527-13:21:41-12016,param,BlockchainNetwork,typename,,,"""src.BlockchainNetwork"""
General-0-20250527-13:21:41-12016,param,BlockchainNetwork.iotNode[0],typename,,,"""src.IoTNode"""
General-0-20250527-13:21:41-12016,param,BlockchainNetwork.iotNode[0],maliciousNodePercentage,,,0.3
General-0-20250527-13:21:41-12016,param,BlockchainNetwork.iotNode[0],maliciousNodePercentage,,,0.3
